Tip ID,Frame,Y,X
654,0,5310,2465
655,0,5311,2274
656,0,5311,2441
657,0,5312,2514
658,0,5313,2195
659,0,5313,2424
660,0,5314,2111
661,0,5315,2267
662,0,5315,2455
663,0,5315,2497
664,0,5316,2295
665,0,5318,2408
666,0,5319,2452
667,0,5321,2416
668,0,5322,2505
669,0,5322,3538
670,0,5323,2389
671,0,5323,2407
672,0,5323,2428
673,0,5325,2293
674,0,5327,3770
675,0,5328,2082
676,0,5329,2420
677,0,5330,2194
678,0,5330,2362
679,0,5330,2391
680,0,5332,2343
681,0,5335,2282
682,0,5335,2389
683,0,5336,2170
684,0,5336,2347
685,0,5338,2463
686,0,5339,2367
687,0,5340,2273
688,0,5341,2392
689,0,5341,2416
690,0,5341,3237
691,0,5344,2388
692,0,5344,2467
693,0,5350,2384
694,0,5351,2456
695,0,5352,2469
696,0,5354,2513
697,0,5355,2390
698,0,5355,2401
699,0,5359,2378
700,0,5359,7724
701,0,5360,2514
702,0,5363,2433
703,0,5366,3227
704,0,5374,2269
705,0,5377,2968
706,0,5379,2241
707,0,5385,2107
708,0,5390,2107
709,0,5393,2508
710,0,5398,7716
711,0,5401,2216
712,0,5402,2205
713,0,5402,3067
714,0,5403,2416
715,0,5404,1775
716,0,5404,1898
717,0,5405,1744
718,0,5405,1939
719,0,5406,2438
720,0,5410,1636
721,0,5419,3180
722,0,5420,1944
723,0,5422,1779
724,0,5423,1652
725,0,5426,1913
726,0,5430,1773
727,0,5436,1638
728,0,5437,1631
729,0,5437,2934
730,0,5442,3830
731,0,5444,1629
732,0,5444,3132
733,0,5444,3744
734,0,5446,5236
735,0,5448,1646
736,0,5448,3090
737,0,5448,3100
738,0,5449,9358
739,0,5450,3344
740,0,5451,3227
741,0,5451,3821
742,0,5453,2975
743,0,5455,9136
744,0,5457,9352
745,0,5458,3148
746,0,5460,1618
747,0,5461,3008
748,0,5461,6341
749,0,5467,3134
750,0,5473,6694
751,0,5473,9830
752,0,5475,3058
753,0,5476,1719
754,0,5483,1978
755,0,5486,3145
756,0,5490,9354
757,0,5494,1893
758,0,5495,3255
759,0,5495,3624
760,0,5495,3762
761,0,5495,9294
762,0,5501,2886
763,0,5501,2913
764,0,5501,3418
765,0,5504,3746
766,0,5504,4996
767,0,5505,3331
768,0,5506,3741
769,0,5508,3567
770,0,5508,3736
771,0,5514,3252
772,0,5515,1758
773,0,5515,3795
774,0,5516,3475
775,0,5517,3328
776,0,5520,1942
777,0,5521,2220
778,0,5524,3325
779,0,5526,9770
780,0,5527,3121
781,0,5528,2890
782,0,5529,2915
783,0,5529,2921
784,0,5532,3731
785,0,5534,2932
786,0,5536,3863
787,0,5537,2940
788,0,5538,3834
789,0,5543,2558
790,0,5550,3521
791,0,5552,2536
792,0,5552,3655
793,0,5554,3305
794,0,5558,3657
795,0,5560,3650
796,0,5561,3492
797,0,5563,2838
798,0,5564,2347
799,0,5565,2698
800,0,5568,3044
801,0,5568,3863
802,0,5569,3292
803,0,5571,2743
804,0,5571,3049
805,0,5573,2853
806,0,5574,2465
807,0,5575,2878
808,0,5576,2978
809,0,5578,2847
810,0,5578,7906
811,0,5579,2306
812,0,5582,7902
813,0,5583,2748
814,0,5586,2602
815,0,5586,2658
816,0,5586,2811
817,0,5586,3349
818,0,5587,2642
819,0,5587,2930
820,0,5588,2982
821,0,5600,2446
822,0,5602,2661
823,0,5603,2594
824,0,5603,3940
825,0,5609,3272
826,0,5612,2385
827,0,5613,2533
828,0,5613,6662
829,0,5617,3225
830,0,5619,2350
831,0,5623,3454
832,0,5624,3183
833,0,5625,2409
834,0,5625,2613
835,0,5625,3458
836,0,5628,2438
837,0,5629,3407
838,0,5631,2878
839,0,5631,3310
840,0,5633,2626
841,0,5633,3300
842,0,5634,2440
843,0,5634,2514
844,0,5636,2326
845,0,5637,2322
846,0,5637,2354
847,0,5637,2358
848,0,5638,2373
849,0,5638,2404
850,0,5642,2266
851,0,5642,3164
852,0,5646,2332
853,0,5646,3334
854,0,5653,3070
855,0,5654,3341
856,0,5657,2084
857,0,5661,2275
858,0,5661,3069
859,0,5666,2587
860,0,5667,2569
861,0,5667,2573
862,0,5671,1842
863,0,5672,2556
864,0,5675,2878
865,0,5675,3305
866,0,5675,3312
867,0,5676,2535
868,0,5679,2282
869,0,5681,3375
870,0,5683,2601
871,0,5683,2704
872,0,5683,2709
873,0,5683,4018
874,0,5687,2607
875,0,5687,3288
876,0,5688,3436
877,0,5690,2789
878,0,5690,3598
879,0,5696,2045
880,0,5696,3139
881,0,5696,3341
882,0,5697,1990
883,0,5708,2907
884,0,5711,2581
885,0,5712,3307
886,0,5715,3151
887,0,5716,2252
888,0,5717,2796
889,0,5717,2801
890,0,5719,1883
891,0,5721,2827
892,0,5723,1887
893,0,5727,3268
894,0,5728,1842
895,0,5728,2819
896,0,5730,3012
897,0,5736,1860
898,0,5740,2946
899,0,5741,2950
900,0,5742,1892
901,0,5742,1914
902,0,5743,1918
903,0,5745,2567
904,0,5747,2559
905,0,5747,2868
906,0,5749,1964
907,0,5754,2204
908,0,5756,3605
909,0,5761,2601
910,0,5764,2109
911,0,5769,2110
912,0,5769,2800
913,0,5772,3045
914,0,5773,2805
915,0,5775,1823
916,0,5778,2590
917,0,5779,1972
918,0,5787,3301
919,0,5789,4128
920,0,5791,2015
921,0,5792,2597
922,0,5794,2590
923,0,5797,2609
924,0,5798,3251
925,0,5801,2577
926,0,5802,1778
927,0,5802,2132
928,0,5802,2588
929,0,5802,3097
930,0,5804,1755
931,0,5805,1858
932,0,5805,2027
933,0,5806,2736
934,0,5807,1904
935,0,5809,1921
936,0,5810,2223
937,0,5814,3018
938,0,5815,1869
939,0,5816,2690
940,0,5819,2058
941,0,5820,2918
942,0,5823,1708
943,0,5825,2627
944,0,5828,2750
945,0,5829,2568
946,0,5830,1809
947,0,5830,2184
948,0,5831,2576
949,0,5831,2726
950,0,5834,2887
951,0,5835,2195
952,0,5835,2970
